commune_code,commune_libelle,quartier,region,departement,zone,nb_enfants_0_4,nb_enfants_5_15,nb_adultes_H,nb_adultes_F,taille_menage,statut_occupation,type_habitat,proxy_niveau_vie,proxy_niveau_vie_label,repondant_sexe,repondant_age,repondant_statut,repondant_est_cm,cm_sexe,cm_age,cm_tranche_age,cm_type_enseignement,cm_niveau_instruction,cm_alpha_francais,cm_alpha_anglais,cm_alpha_arabe,cm_alpha_lng_nationale,cm_alpha_autre_etrangere,cm_est_alphabetise,cm_situation_matrimoniale,cm_statut_emploi,cm_secteur_emploi,cm_revenu,src__v1,src__v2,src__v3,src__v4,src__v5,src__v6,src__v7,sources_liste,nb_sources,nat__v8,nat__v9,nat__v10,nat__v11,nat__v12,nat__v13,nat__v14,nat__v15,nat__v16,nat__v17,natures_liste,nb_natures,mode_stockage,stockage_couvert,place_stockage,capacite_stockage_suffisante,tri_avant_evacuation,revente_dechets,types_revendus_liste,raison_non_revente,proportion_traitee,traitement_enfouissement,traitement_incineration,traitement_recyclage,traitement_compostage,au_moins_un_traitement,responsable_evacuation,acces_benne_tasseuse,benne_usage_regulier,distance_point_collecte,benne_point_nettoyage,benne_heure_convient,frequence_benne,satisfaction_benne,service_alternatif_type,service_alternatif_raison,a_service_alternatif,service_evacuation_payant,montant_evacuation_tranche,frequence_paiement,montant_mensuel_evacuation_fcfa,duree_quartier,existence_bacs_quartier,satisfaction_bacs,raison_insatisfaction_bacs,corbeilles_rue_presentes,satisfaction_emplacements_corbeilles,satisfaction_qualite_corbeilles,acces_depotoire_normalise,dep_sauvages_rue_freq,eaux_usees_rue_freq,depots_sauvages_observes,dernier_depot_sauvage,contact_UCG_pour_depot,satisfaction_reaction_UCG,nuisible__v23,nuisible__v24,nuisible__v25,nuisible__v26,nuisible__v27,nuisible__v28,nuisible__v29,nuisibles_liste,nb_nuisibles,service_balayage_rues,satisfaction_balayage,set_setal,place_publique,gestionnaire_place_publique,salubrite_place_publique,marche_present,gestionnaire_marche,gestion_dechets_marche,connait_UCG,campagne_sensibilisation,organisateur_campagne,satisfait_campagne,suggestions_amelioration,maladie__v30,maladie__v31,maladie__v32,maladie__v33,maladie__v34,maladie__v35,maladie__v36,maladie__v37,maladie__v38,maladies_liste,nb_maladies,aucune_maladie,nb_types_maladies_menage,maladie_liee_dechets
18,Golf Sud,Liberté 6,Dakar,Guédiawaye,Région de Dakar (urbain),5,5,5,5,20.0,Propriétaire,Maison basse,2,Moyen-haut,Homme,,Chef de ménage,Oui,Homme,82.0,60 ans et plus,École arabe,Secondaire,Non,Non,Oui,Oui,Non,Oui,,,,,0,1,0,0,0,0,0,Gestion du foyer (hors alimentation),1,0,1,0,0,0,1,0,0,0,0,Papier / Carton | Déchets verts,2,Fût,Oui,Dans la parcelle,Oui,Oui,Oui,Verre,,Une partie,Oui — la totalité,,,,Oui,,,,,,,,,,,Non,,,,0.0,Moins d'un mois,Non,,,Oui,Bon / Satisfait,Bon / Satisfait,Oui,"Oui, très souvent","Oui, rarement","Oui, rarement",,,,1,0,0,0,0,0,0,Moustiques,1,,,Oui,Oui,Association du quartier,Bon / Satisfait,Non,,,Oui,Non,,,Er,0,0,1,0,0,1,0,0,0,Rhume | Nausées ou vomissements,2,0,2,Oui
6,Bargny,Point E,Dakar,Rufisque,Région de Dakar (urbain),0,0,2,2,4.0,Propriétaire,Maison basse,2,Moyen-haut,Femme,,Femme ou Mari,Non,Homme,,,École française,Supérieur,Oui,Non,Non,Oui,Non,Oui,,,,,1,0,0,0,1,0,0,Consommation alimentaire / Cuisine | Entretien du logement,2,1,1,1,1,1,1,1,0,1,0,Plastiques | Papier / Carton | Restes d'aliments | Vêtements / Tissus | Déchets électroménagers | Déchets verts | Métal | Médicaments,8,Poubelle spécialisée,Oui,Dans la parcelle,Oui,Non,Non,,N'est pas intéressé,Aucune partie,,,,,Non,,,,,,,,,,,Non,,,,0.0,1 mois et plus,Oui,Mauvais / Pas satisfait,Les poubelles ne sont pas vidées,Non,,,Oui,"Oui, rarement","Oui, rarement","Oui, rarement",,,,1,1,1,1,0,1,0,Moustiques | Mouches | Cafards | Souris | Rats,5,,,Non,Non,,,,,,Non,Non,,,METTRE DES CORBEILLES DE RUE ET VIDER LES BACS A ORDURE,0,0,0,0,0,0,0,0,1,Autre maladie,1,0,1,Non
6,Bargny,Point E,Dakar,Rufisque,Région de Dakar (urbain),1,2,1,2,6.0,Propriétaire,Maison basse,2,Moyen-haut,Femme,32.0,Femme ou Mari,Non,Homme,40.0,35-44 ans,École française,Primaire,Oui,Non,Ne sait pas,Oui,Oui,Oui,,,,,1,1,0,0,1,0,0,Consommation alimentaire / Cuisine | Gestion du foyer (hors alimentation) | Entretien du logement,3,1,1,0,1,0,1,1,0,1,0,Plastiques | Papier / Carton | Vêtements / Tissus | Déchets verts | Métal | Médicaments,6,Seau / Bassine,Non,Dans la parcelle,Oui,Non,Non,,N'est pas intéressé,Aucune partie,,,,,Non,,,,,,,,,,,Non,,,,0.0,1 mois et plus,Non,,,Non,,,Non,"Oui, rarement","Non, jamais","Oui, rarement",,,,1,1,1,1,1,0,0,Moustiques | Mouches | Cafards | Souris | Vers,5,,,Non,Non,,,,,,Non,Non,,,LES BENNES TASSEUSES DOIVENT VENIR A TEMPS POUR EVACUER LES DECHETS REGULIEREMENT,0,0,0,0,0,0,0,0,1,Autre maladie,1,0,1,Non
6,Bargny,Point E,Dakar,Rufisque,Région de Dakar (urbain),0,8,4,3,15.0,Propriétaire,Maison en étage,2,Moyen-haut,Homme,58.0,Chef de ménage,Oui,Homme,58.0,45-59 ans,École française,Secondaire,Oui,Non,Non,Oui,Non,Oui,,,,,1,1,1,1,1,0,0,Consommation alimentaire / Cuisine | Gestion du foyer (hors alimentation) | Élevage | Animaux domestiques | Entretien du logement,5,1,1,1,0,0,1,0,0,1,0,Plastiques | Papier / Carton | Restes d'aliments | Déchets verts | Médicaments,5,Poubelle spécialisée,Oui,Dans la parcelle,Oui,Non,Non,,N'est pas intéressé,Aucune partie,,,,,Non,,,,,,,,,,,Non,,,,0.0,1 mois et plus,Non,,,Oui,Bon / Satisfait,Bon / Satisfait,Oui,"Non, jamais","Non, jamais","Non, jamais",,,,0,0,0,0,0,0,1,Autre,1,,,Non,Non,,,,,,Oui,Non,,,UCG DOIT VENIR A POINT E POUR DEBOUCHER LES CANAUX,1,1,0,0,0,0,0,0,0,Fièvre | Asthme,2,0,2,Oui
8,Jaxaay / Parcelles / Niakoul Rap,GRAND DAKAR,Dakar,Pikine,Région de Dakar (urbain),5,2,3,0,10.0,Locataire,Appartement,1,Moyen-bas,Homme,22.0,Fils ou Fille,Non,Homme,60.0,60 ans et plus,École française,Supérieur,Oui,Non,Non,Oui,Non,Oui,,,,,1,1,0,0,0,0,0,Consommation alimentaire / Cuisine | Gestion du foyer (hors alimentation),2,1,0,1,0,0,0,0,0,0,0,Plastiques | Restes d'aliments,2,Seau / Bassine,Oui,Dans la parcelle,Oui,Oui,Non,,N'est pas intéressé,Aucune partie,,,,,Non,,,,,,,,,,,Non,,,,0.0,1 mois et plus,Non,,,Non,,,Non,"Non, jamais","Non, jamais","Non, jamais",,,,1,1,0,0,0,0,0,Moustiques | Mouches,2,,,Oui,Non,,,,,,Non,Oui,Autre,Oui,dépôt de poubelle d' avantage dans le qartier,0,0,0,0,0,0,0,0,1,Autre maladie,1,0,1,Non
8,Jaxaay / Parcelles / Niakoul Rap,GRAND DAKAR,Dakar,Pikine,Région de Dakar (urbain),1,3,3,2,9.0,Locataire,Appartement,1,Moyen-bas,Femme,40.0,Femme ou Mari,Non,Homme,49.0,45-59 ans,École coranique,,Non,Non,Oui,Non,Non,Oui,,,,,1,0,0,0,0,0,0,Consommation alimentaire / Cuisine,1,1,0,0,0,0,0,0,0,0,0,Plastiques,1,Seau / Bassine,Oui,Dans la parcelle,Oui,Non,Non,,N'est pas intéressé,Aucune partie,,,,,Non,,,,,,,,,,,Non,,,,0.0,1 mois et plus,Non,,,Non,,,Non,"Oui, rarement","Non, jamais","Oui, rarement",,,,1,0,0,0,0,0,0,Moustiques,1,,,Oui,Oui,Mairie,Bon / Satisfait,Oui,Mairie,Bon / Satisfait,Oui,Non,,,CREER DES POINT DE DEPOTS POUR CHERCHER EUX MEME,0,0,0,0,0,0,0,0,1,Autre maladie,1,0,1,Non
8,Jaxaay / Parcelles / Niakoul Rap,GRAND DAKAR,Dakar,Pikine,Région de Dakar (urbain),1,14,8,6,29.0,Locataire,Maison basse,1,Moyen-bas,Femme,27.0,Petit-fils / Petite-fille,Non,Femme,52.0,45-59 ans,École coranique,,Non,Non,Oui,Non,Non,Oui,,,,,1,0,0,0,0,0,1,Consommation alimentaire / Cuisine | Autre source,2,1,0,0,0,0,1,0,0,0,0,Plastiques | Déchets verts,2,Seau / Bassine,Non,Dans la parcelle,Oui,Non,Non,,N'a pas le temps nécessaire,Aucune partie,,,,,Non,,,,,,,,,,,Non,,,,0.0,1 mois et plus,Non,,,Non,,,Non,"Oui, très souvent","Oui, rarement","Oui, rarement",,,,1,1,0,0,1,0,0,Moustiques | Mouches | Vers,3,,,Oui,Non,,,,,,Oui,Non,,,BEAUCOUP SENSIBIlISATIONS SUR L'IMPORTANCE DE LA PROPRIÉTÉ,0,1,1,0,0,0,0,0,0,Asthme | Rhume,2,0,2,Oui
8,Jaxaay / Parcelles / Niakoul Rap,GRAND DAKAR,Dakar,Pikine,Région de Dakar (urbain),0,0,0,0,0.0,Locataire,Appartement,1,Moyen-bas,Femme,29.0,Fils ou Fille,Non,Femme,50.0,45-59 ans,Aucun,,Non,Non,Oui,Non,Non,Oui,,,,,1,1,0,0,0,0,0,Consommation alimentaire / Cuisine | Gestion du foyer (hors alimentation),2,1,0,1,1,1,0,0,0,0,0,Plastiques | Restes d'aliments | Vêtements / Tissus | Déchets électroménagers,4,Seau / Bassine,Oui,Dans la parcelle,Oui,Oui,Non,,N'est pas intéressé,Aucune partie,,,,,Non,,,,,,,,,,,Non,,,,0.0,1 mois et plus,Non,,,Oui,Mauvais / Pas satisfait,,Oui,"Oui, rarement","Non, jamais","Non, jamais",,,,0,0,0,0,0,0,1,Autre,1,,,Non,Non,,,,,,Oui,Non,,,IMPORTANCE DE  LA PROPRIÉTÉ,0,0,0,0,0,0,0,0,1,Autre maladie,1,0,1,Non
8,Jaxaay / Parcelles / Niakoul Rap,GRAND DAKAR,Dakar,Pikine,Région de Dakar (urbain),1,1,1,0,3.0,Propriétaire,Maison en étage,2,Moyen-haut,Femme,55.0,Femme ou Mari,Non,Homme,70.0,60 ans et plus,École française,Secondaire,Oui,Non,Non,Oui,Non,Oui,,,,,1,1,1,0,0,0,0,Consommation alimentaire / Cuisine | Gestion du foyer (hors alimentation) | Élevage,3,1,1,1,1,1,0,0,0,0,0,Plastiques | Papier / Carton | Restes d'aliments | Vêtements / Tissus | Déchets électroménagers,5,Seau / Bassine,Non,Dans la parcelle,Oui,Non,Non,,N'est pas intéressé,Aucune partie,,,,,Non,,,,,,,,,,,Non,,,,0.0,1 mois et plus,Non,,,Non,,,Non,"Oui, rarement","Non, jamais","Non, jamais",,,,1,0,0,0,0,0,0,Moustiques,1,,,Non,Non,,,,,,Non,Non,,,Apprendre d avatanges les notions de la propriété,0,0,0,0,0,0,0,0,1,Autre maladie,1,0,1,Non
8,Jaxaay / Parcelles / Niakoul Rap,Allianz,Dakar,Pikine,Région de Dakar (urbain),1,2,1,1,5.0,Propriétaire,Maison basse,2,Moyen-haut,Femme,59.0,Femme ou Mari,Non,Femme,59.0,45-59 ans,École française,Primaire,Non,Non,Non,Oui,Non,Oui,,,,,0,1,0,0,0,0,0,Gestion du foyer (hors alimentation),1,1,1,0,0,0,0,0,0,0,0,Plastiques | Papier / Carton,2,Poubelle spécialisée,Oui,Dans la cuisine,Non,Non,Non,,N'en a pas connaissance,La totalité,Oui — la totalité,,,,Oui,,,,,,,,,,,Non,,,,0.0,1 mois et plus,Oui,Mauvais / Pas satisfait,Pas suivi ou non-respect,Oui,Bon / Satisfait,Bon / Satisfait,Oui,"Oui, rarement","Oui, très souvent","Oui, fréquemment",2 à 7 jours,Non,,1,0,0,0,0,0,0,Moustiques,1,,,Oui,Non,,,,,,Non,Oui,Autre,Oui,Plus d effort venir matin et soir surtout après les fetes,1,0,0,0,0,0,0,0,0,Fièvre,1,0,1,Non
