2026-06-25 00:21:01,598 | INFO     | pipeline | =================================================================
2026-06-25 00:21:01,599 | INFO     | pipeline |   PIPELINE DÉCHETS MÉNAGERS — DÉMARRAGE
2026-06-25 00:21:01,599 | INFO     | pipeline |   2026-06-25 00:21:01
2026-06-25 00:21:01,599 | INFO     | pipeline | =================================================================
2026-06-25 00:21:01,599 | INFO     | pipeline | 
[ÉTAPE 1/4] Chargement et contrôle qualité des données brutes...
2026-06-25 00:21:01,599 | INFO     | loader | Chargement : C:\Users\User\Desktop\Ecole\AS3\Projet Traitement donnees\Insalubrite_traitement_donnees\input\Base.dta
2026-06-25 00:21:01,718 | INFO     | loader | Dimensions brutes : 2474 lignes × 130 colonnes
2026-06-25 00:21:01,720 | INFO     | loader | Nettoyage des types terminé.
2026-06-25 00:21:01,720 | WARNING  | loader | Colonne attendue absente : 'I_3' (Âge répondant) — contrôle outlier ignoré.
2026-06-25 00:21:01,721 | WARNING  | loader | Colonne attendue absente : 'I_9' (Âge chef de ménage) — contrôle outlier ignoré.
2026-06-25 00:21:01,736 | INFO     | loader | Contrôles qualité : 10 signalements générés.
2026-06-25 00:21:01,737 | INFO     | pipeline |   → 2474 ménages chargés, 10 anomalies détectées.
2026-06-25 00:21:01,737 | INFO     | pipeline | 
[ÉTAPE 2/4] Construction des variables analytiques...
2026-06-25 00:21:01,737 | WARNING  | builder | Colonne brute absente : 'Commune' — variable(s) dérivée(s) mise(s) à NaN.
2026-06-25 00:21:01,743 | WARNING  | builder | Colonne brute absente : 'I_5_1' — variable(s) dérivée(s) mise(s) à NaN.
2026-06-25 00:21:01,744 | WARNING  | builder | Colonne brute absente : 'I_5_2' — variable(s) dérivée(s) mise(s) à NaN.
2026-06-25 00:21:01,744 | WARNING  | builder | Colonne brute absente : 'I_5_3' — variable(s) dérivée(s) mise(s) à NaN.
2026-06-25 00:21:01,744 | WARNING  | builder | Colonne brute absente : 'I_5_4' — variable(s) dérivée(s) mise(s) à NaN.
2026-06-25 00:21:01,745 | WARNING  | builder | Colonne brute absente : 'I_6' — variable(s) dérivée(s) mise(s) à NaN.
2026-06-25 00:21:01,747 | WARNING  | builder | Colonne brute absente : 'I_7' — variable(s) dérivée(s) mise(s) à NaN.
2026-06-25 00:21:01,754 | WARNING  | builder | Colonne brute absente : 'II_24' — variable(s) dérivée(s) mise(s) à NaN.
